question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
"Anjani can do a certain piece of work in 30 days. Anjani and Khushbu can together do the same work in 10 days, and Anjani, Khushbu and Sushmita can do the same work together in 9 days. In how many days can Anjani and Sushmita do the same work together?",38/3,44/2,45/2,49/4,2,Mathematics,2023
Anil bought some pens at the rate of ₹150 a dozen. He sold them for ₹45 each. His profit percentage is _______%.,1. 258,2. 260,3. 262,4. 264,1,Mathematics,2023
"P, Q and R invest a sum in the ratio of 50 : 14 : 72, respectively. If they earned a total profit of ₹4,790 at the end of the year, what is the difference between the shares of Q and R?","1. ₹1,836","2. ₹1,916","3. ₹1,966","4. ₹2,022",1,Mathematics,2023
"The average price of three items of furniture is ₹16,005. If their prices are in the ratio 3 : 5 : 7, the price of the cheapest item (in ₹) is","1. 3,201","2. 5,335","3. 7,469","4. 9,603",3,Mathematics,2023
"In ΔABC, BD ⊥ AC at D and ∠DBC = 60°. E is a point on BC such that ∠CAE = 20°. What is the measure of ∠AEB?",1. 54°,2. 58°,3. 46°,4. 50°,3,Mathematics,2023
"The income of Raman is ₹86,400. He saves 22.5% of his income. If his income increases by 22% and expenditure increases by 25%, then his savings will:","1. decrease by ₹2,263","2. increase by ₹2,268","3. increase by ₹2,273","4. decrease by ₹2,271",1,Mathematics,2023
Simplify: (1 + cot²A) + (1 + 1/cot²A),1. cosec²A sec²A,2. sin²Acos²A,3. tan²A,4. cot²A,0,Mathematics,2023
"What sum of money (in ₹) will amount to ₹2,400 at 5% per annum simple interest in 4 years?","1. ₹2,000","2. ₹2,050","3. ₹12,000","4. ₹1,950",0,Mathematics,2023
"An article is marked for ₹720. If two successive discounts of 10% and 15% are allowed for sale, then the selling price of the article is:",₹489.60,₹468,₹550.80,₹597.60,2,Mathematics,2023
Simplify x(7x - 2) + 5(x² - 3) + 13.,12x² - 2x + 2,12x² - 2x - 2,-12x² - 2x + 2,-12x² - 2x - 2,1,Mathematics,2023
Find the value of 83² × 83⁷ × 83¹⁰.,83²⁰,83¹⁶,83¹⁴,83¹⁹,3,Mathematics,2023
The product of two consecutive positive natural numbers is 930. The greater of the two numbers is:,33,32,29,31,3,Mathematics,2023
"M and N start a business. M invests ₹24,000 more than N for 3 months and N invests for 4 months. M's share is ₹962 more than that of N, out of a total profit of ₹7,696. Find the capital contributed by M.","₹57,424","₹57,626","₹57,692","₹57,600",3,Mathematics,2023
"Pipe A can fill a tank in 19 hours, pipe B can fill the same tank in 21 hours and pipe C can fill the same tank in 8 hours. The time taken by them to fill the same tank if they operate together is:",10 316/719 hours,13 316/719 hours,4 316/719 hours,11 316/719 hours,2,Mathematics,2023
"The number of prime numbers lying between 488 and 494, both included, is:",1,2,3,4,0,Mathematics,2023
The average of first 165 even numbers is,166.5,167,166,165.5,2,Mathematics,2024
"A shopkeeper lists the price of a fan at 50% above its cost price and offers a 30% discount on its list price. If he earns a profit of ₹175, then what is the list price (in ₹) of the fan?","5,088","5,250","5,040","5,021",1,Mathematics,2024
"An electronics retailer offers two successive discounts of 7% and 10% on a TV priced at ₹40,000. What is the difference in the final price of applying two successive discounts compared to applying a flat discount of 17%?",₹327,₹318,₹336,₹312,2,Mathematics,2024
What smallest number should be added to 71079 so that the sum is completely divisible by 29?,14,13,15,9,0,Mathematics,2024
"The H.C.F. and the L.C.M. of two numbers are 11 and 495, respectively. If one of the numbers is 55, find the other one.",21,99,172,181,1,Mathematics,2024
"Find the simple interest (in ₹) on ₹4,000 at 7.5% per annum rate of interest deposited on 5 February 2024 and withdrawn on 6 April 2024.",48,50,51,49,1,Mathematics,2024
Which of the following numbers divides 934725?,2,6,10,3,3,Mathematics,2024
"Read the given statement(s) and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, mark which of the given conclusions logically follow(s) from the statements.",Both conclusions (I) and (II) follow.,Only conclusion (I) follows.,Only conclusion (II) follows.,Neither conclusion (I) nor (II) follows.,3,General Intelligence and Reasoning,2023
Navish ranked 14th from the bottom and 17th from the top in his class. How many students are there in his class?,27,30,28,29,1,General Intelligence and Reasoning,2023
"This question is based on the five, three-digit numbers given below. (Left) 438 745 217 153 876 (Right) (Example - 697 - First digit = 6, second digit = 9 and third digit = 7) (NOTE: All operations to be done from left to right.) What will be the resultant if the third digit of the highest number is added to the second digit of the lowest number?",12,10,13,11,3,General Intelligence and Reasoning,2023
Arjun and Malaika have to travel from Delhi to Kanpur in their respective cars. Arjun is driving at 66 km/hr while Malaika is driving at 99 km/hr. Find the time taken by Malaika to reach Kanpur if Arjun takes 3 hours.,1.2 hours,11 hours,4 hours,2 hours,3,Mathematics,2023
Find the surface area of a sphere whose diameter is equal to 54 cm.,3651π cm²,3865π cm²,2916π cm²,2386π cm²,2,Mathematics,2023
"Based on the English alphabetical order, three of the following four letter-clusters are alike in a certain way and thus form a group. Which letter-cluster DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",ILF,ORK,LOI,RUO,1,General Intelligence and Reasoning,2023
"If 'A' stands for '%', 'B' stands for '&', 'C' stands for '*' and 'D' stands for '-', then the resultant of which of the following would be 18?",45 C 6 A 8 B 42 A 2,45 D 6 B 8 C 42 A 2,45 A 6 B 8 D 42 C 2,45 B 6 C 8 D 42 A 2,3,General Intelligence and Reasoning,2023
"In a certain code language, 'PICK' is coded as '3517' and 'COST' is coded as '2146'. What is the code for 'C' in the given code language?",1 6,2 3,3 4,3 1,3,General Intelligence and Reasoning,2023
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",R-AMF,IM-DH,KO-FI,NR-IL,1,General Intelligence and Reasoning,2023
"In a certain code language, 'A is husband of B', 'A @ B' means 'A is the brother of B', 'A - B' means 'A is the wife of B' and 'A @ B' means 'A is the father of B'. How is C related to U if 'C - O @ M # B % U'?",Mother's mother,Mother,Mother's sister,Sister,1,General Intelligence and Reasoning,2023
"What will come in the place of the question mark (?) in the following equation, if '+' and 'x' are interchanged, and '-' and '/' are interchanged? 2 + 8 + 84 - 7 x 27 = ?",1 31,2 26,3 15,4 21,0,General Intelligence and Reasoning,2023
"Ram starts his journey from point A and drives for 12 km towards the south. He then turns right and drives for 7 km. He then turns left, drives for 5 km, then again turns left and drives for 13 km, and then again turns left and drives for 9 km. He then turns left and drives for 14 km. He takes a final right turn and drives for 8 km and stops. How far (shortest distance) and in which direction should he drive in order to reach point A again? (All turns are 90-degree turns only unless specified)",1. 5 km towards the east,2. 6 km towards the east,3. 8 km towards the north,4. 8 km towards the east,3,General Intelligence and Reasoning,2023
Samar ranked 39th from the top and 34th from the bottom in his class. How many students are there in his class?,1. 74,2. 72,3. 73,4. 71,1,General Intelligence and Reasoning,2023
"Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) 0 3 # π 2 α Q 9 $ # 4 8 9 % 1 & 5 @ 8 6 μ (Right) How many such symbols are there, which are immediately preceded by a prime number and also immediately followed by a symbol?",1. Three,2. None,3. Two,4. One,2,General Intelligence and Reasoning,2023
Select the pair that follows the same pattern as that followed by the two pairs given below. Both pairs follow the same pattern. EVN : FAQ GWA : HYD,1. JUF : KWI,2. SBL : TEM,3. TOH : WSI,4. OCR : PDS,0,General Intelligence and Reasoning,2023
"Seven people A, B, C, D, P, Q and R are sitting in a row facing north. Only three people sit to the left of R. Only A sits to the right of C. Only three people sit between C and Q. B sits at some place to the left of P but at some place to the right of D. How many people sit between D and P?",1. Two,2. Three,3. Four,4. One,1,General Intelligence and Reasoning,2023
"If + means -, - means x, x means ÷ and ÷ means +, then what will come in place of the question mark (?) in the following equation? 36 + 48 x 4 + 5 ÷ 3 = ?",1. 47,2. 39,3. 43,4. 52,1,General Intelligence and Reasoning,2023
"In the following triads, each group of letters is related to the subsequent one following a certain logic. Select from the given options, the one which follows the same logic.",LUNG - UNLG - GNUL,FERN - ERFN - NREF,COIR - OICR - RIOC,CUTS - UCTS - SUTC,2,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series?,94 ? 118 142 174 214,112,108,108,3,General Intelligence and Reasoning,2024
"Teena, Beena, Meera, Leena, Meenu and Reena are sitting around a circle, facing the centre. Reena sits second to the left of Teena. Meenu sits third to the left of Reena. Leena sits second to the left of Meera. Who sits second to the left of Beena?",Leena,Reena,Meera,Teena,3,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series?,9 13 21 33 49 ?,70,69,67,1,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to the group?",NJ-QL,KG-LI,TP-US,QM-RO,3,General Intelligence and Reasoning,2024
"Seven boxes V, W, X, Y, Z, Q and R are kept one over the other but not necessarily in the same order. Only four boxes are kept between Z and Y. Only X is kept above Z. Only two boxes are kept between W and V. R is kept immediately above Q. V is not kept immediately above R. Which box is kept fourth from the top?",Y,W,R,Q,2,General Intelligence and Reasoning,2024
"In a certain code language, 'CURE' is coded as '8426' and 'THOU' is coded as '5183'. What is the code for 'U' in the given code language?",1. 4,2. 1,3. 8,4. 3,2,General Intelligence and Reasoning,2024
